Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
P1;03/01/2018;Rio Ave;Pacos Ferreira;4;2;H;1;0;H;15;8;8;5;12;21;5;3;0;1;1;0
P1;04/01/2018;Portimonense;Belenenses;0;0;D;0;0;D;12;7;3;3;16;14;3;3;1;1;0;0
P1;04/01/2018;Setubal;Estoril;2;2;D;0;0;D;5;8;3;3;25;20;8;4;2;2;0;0
P1;06/01/2018;Sp Braga;Rio Ave;2;1;H;1;1;D;12;12;4;5;22;16;5;5;4;2;0;0
P1;07/01/2018;Chaves;Aves;1;1;D;0;1;A;9;8;5;5;14;17;9;0;1;3;0;0
P1;07/01/2018;Moreirense;Benfica;0;2;A;0;1;A;5;13;2;11;17;7;2;10;1;0;0;0
P1;07/01/2018;Porto;Guimaraes;4;2;H;0;1;A;14;4;8;2;13;16;5;3;0;3;0;0
P1;07/01/2018;Sp Lisbon;Maritimo;5;0;H;1;0;H;13;6;6;2;13;15;7;5;0;1;0;0
P1;08/01/2018;Estoril;Feirense;0;2;A;0;1;A;6;2;1;2;19;24;5;4;2;4;0;0
P1;08/01/2018;Pacos Ferreira;Portimonense;1;1;D;0;0;D;11;7;5;5;16;13;10;3;2;5;0;1
P1;09/01/2018;Belenenses;Boavista;1;1;D;1;0;H;7;6;4;4;16;13;5;4;1;3;0;0
P1;09/01/2018;Tondela;Setubal;1;1;D;1;1;D;11;5;2;2;17;16;4;7;1;2;0;0
P1;12/01/2018;Chaves;Guimaraes;4;3;H;3;3;D;19;10;8;7;9;11;5;2;1;3;0;0
P1;13/01/2018;Pacos Ferreira;Maritimo;0;0;D;0;0;D;9;3;1;2;13;9;8;1;1;2;0;0
P1;13/01/2018;Sp Braga;Benfica;1;3;A;0;1;A;9;10;5;7;14;13;4;2;2;3;0;0
P1;14/01/2018;Belenenses;Rio Ave;1;2;A;0;1;A;8;6;6;4;22;15;3;5;6;4;1;0
P1;14/01/2018;Boavista;Portimonense;2;0;H;2;0;H;11;10;6;5;21;14;4;6;4;2;0;2
P1;14/01/2018;Sp Lisbon;Aves;3;0;H;1;0;H;11;6;5;3;14;15;4;7;0;0;0;0
P1;14/01/2018;Tondela;Feirense;3;1;H;0;0;D;11;8;6;4;19;13;4;9;5;4;0;1
P1;15/01/2018;Moreirense;Setubal;2;2;D;1;2;A;9;5;6;3;24;27;7;2;2;6;0;0
P1;19/01/2018;Porto;Tondela;1;0;H;1;0;H;17;2;10;0;13;14;12;7;0;1;0;0
P1;19/01/2018;Setubal;Sp Lisbon;1;1;D;0;1;A;3;10;1;2;16;17;0;8;4;3;0;0
P1;20/01/2018;Benfica;Chaves;3;0;H;2;0;H;11;6;8;1;14;10;8;2;0;0;0;0
P1;20/01/2018;Maritimo;Belenenses;0;0;D;0;0;D;3;10;1;3;23;20;2;4;1;5;0;1
P1;20/01/2018;Portimonense;Sp Braga;1;2;A;0;2;A;11;4;4;2;22;18;6;2;1;4;0;0
P1;21/01/2018;Aves;Pacos Ferreira;0;2;A;0;1;A;10;8;4;5;17;26;12;7;3;5;0;0
